artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
Travis Scott,Skeletons,47,10,1,6NMtzpDQBTOfJwMzgMX0zl,1.0,72
Travis Scott,Astrothunder,48,10,1,4MXhiYIRDMGAuvZc5IFTwC,1.0,74
Travis Scott,Butterfly Effect,50,10,23,2cYqizR4lgvp4Qu6IQ3qGN,0.0,83
Travis Scott,Houstonfornication,53,11,1,58TaFP5j5i9swOf584yon2,1.0,73
Travis Scott,Coffee Bean,68,14,1,6vnfObZ4Ys70SBAtti1xZ9,1.0,71
Jake Owen,I Was Jack (You Were Diane),43,9,11,3dlCF1mzW1UKMOb4b1XN17,0.0,66
Imagine Dragons,Whatever It Takes,12,3,27,6Qn5zhYkTa37e91HC1D7lb,0.0,80
Demi Lovato,Sober,47,10,3,0STK94RxUulYqWzwFlyAb5,0.0,74
Foster The People,Sit Next To Me,42,9,20,4BdGO1CaObRD4La9l5Zanz,0.0,73
Luke Combs,One Number Away,34,7,20,4gB7HrYHbJVJ5RFOjxmoq4,0.0,74
The Weeknd,Call Out My Name,4,1,18,09mEdoA6zrmBPgTEN5qXmN,0.0,82
Kanye West,All Mine,11,3,9,3U21A07gAloCc4P7J8rxcn,1.0,72
Queen Naija,Karma,63,13,2,3qmm9AdG0TnShv0drgXNIQ,0.0,65
Nicky Jam x J Balvin,X,41,9,21,5YUyW9opqNsMSEzzecZih1,0.0,76
Chance The Rapper,I Might Need Security,60,12,1,3EApebexZ7YqDIqw2EMTDh,1.0,61
Drake,Emotionless,8,2,4,5Psnhdkyanjpgc2P8A5TSM,1.0,66
Drake,Can't Take A Joke,18,4,4,1dUHF4RyMmMTveJ0Rby6Xm,1.0,67
Drake,Elevate,14,3,3,3szf2z1Cy1QMrtHrbn8rz9,1.0,64
Drake,Blue Tint,30,6,3,4n1bdaKwynQndm47x5HqWX,1.0,64
Bad Wolves,Zombie,54,11,18,1vNoA9F5ASnlBISFekDmg3,0.0,71
Drake,8 Out Of 10,21,5,3,0zqy3ss4CwD6u4QPksS0nI,1.0,61
Future,31 Days,65,13,2,7MywASx2OFZngfoORjo1yy,1.0,52
Future,Wifi Lit,53,11,1,6WlxcZKpEV6Bwe9InoVhMp,1.0,53
XXXTENTACION,Jocelyn Flores,19,4,20,7m9OqQk4RVRkw9JJdeAw96,1.0,87
Drake,Sandra's Rose,27,6,2,6cblRiEGDRNZgowcm951R3,1.0,63
Drake,Summer Games,28,6,2,4HG1YiGBseVKzjyKcmAJen,0.0,62
Drake,Jaded,32,7,2,4c2xt1trwYZpMqPWY35Xi9,1.0,65
Drake,That's How You Feel,37,8,2,41a7dZcq30Ss5kPMayWRV0,1.0,64
Drake,Survival,17,4,2,2yg9UN4eo5eMVJ7OB4RWj3,1.0,61
